memory file = ../riscvn.mem
program counter = 0000000c(12)
stack address = 4096
debugtype = 3
ram[00000000]  = 00000417(32) ; 00000000 -> 00000417 
ram[000001dc]  = 4a0e1c63(32) ; 00000000 -> 4a0e1c63 
ram[000001e0]  = 00000417(32) ; 00000000 -> 00000417 
ram[000001e4]  = 00133e13(32) ; 00000000 -> 00133e13 
ram[000001e8]  = 4a0e1663(32) ; 00000000 -> 4a0e1663 
ram[000001ec]  = 00000417(32) ; 00000000 -> 00000417 
ram[000001f0]  = 40000313(32) ; 00000000 -> 40000313 
ram[000001f4]  = 40030313(32) ; 00000000 -> 40030313 
ram[000001f8]  = 40030313(32) ; 00000000 -> 40030313 
ram[000001fc]  = 40030313(32) ; 00000000 -> 40030313 
ram[00000200]  = fff33e13(32) ; 00000000 -> fff33e13 
ram[00000204]  = 480e0863(32) ; 00000000 -> 480e0863 
ram[00000208]  = fff30313(32) ; 00000000 -> fff30313 
ram[0000020c]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000210]  = fff33e13(32) ; 00000000 -> fff33e13 
ram[00000214]  = 480e0063(32) ; 00000000 -> 480e0063 
ram[00000218]  = 00000417(32) ; 00000000 -> 00000417 
ram[0000021c]  = 00133e13(32) ; 00000000 -> 00133e13 
ram[00000220]  = 460e1a63(32) ; 00000000 -> 460e1a63 
ram[00000224]  = fff00393(32) ; 00000000 -> fff00393 
ram[00000228]  = 00000417(32) ; 00000000 -> 00000417 
ram[0000022c]  = 0023be13(32) ; 00000000 -> 0023be13 
ram[00000230]  = 460e1263(32) ; 00000000 -> 460e1263 
ram[00000234]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000238]  = fff3be13(32) ; 00000000 -> fff3be13 
ram[0000023c]  = 440e1c63(32) ; 00000000 -> 440e1c63 
ram[00000240]  = fff00393(32) ; 00000000 -> fff00393 
ram[00000244]  = 7ff00e13(32) ; 00000000 -> 7ff00e13 
ram[00000248]  = 7ffe0e13(32) ; 00000000 -> 7ffe0e13 
ram[0000024c]  = 001e0e13(32) ; 00000000 -> 001e0e13 
ram[00000250]  = 41c383b3(32) ; 00000000 -> 41c383b3 
ram[00000254]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000258]  = 000e0313(32) ; 00000000 -> 000e0313 
ram[0000025c]  = fffff337(32) ; 00000000 -> fffff337 
ram[00000260]  = 42731a63(32) ; 00000000 -> 42731a63 
ram[00000264]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000268]  = fff00313(32) ; 00000000 -> fff00313 
ram[0000026c]  = 00130313(32) ; 00000000 -> 00130313 
ram[00000270]  = 42031263(32) ; 00000000 -> 42031263 
ram[00000274]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000278]  = fff06313(32) ; 00000000 -> fff06313 
ram[0000027c]  = 00130313(32) ; 00000000 -> 00130313 
ram[00000280]  = 40031a63(32) ; 00000000 -> 40031a63 
ram[00000284]  = 00300393(32) ; 00000000 -> 00300393 
ram[00000288]  = 00100313(32) ; 00000000 -> 00100313 
ram[0000028c]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000290]  = 00731e33(32) ; 00000000 -> 00731e33 
ram[00000294]  = 00800e93(32) ; 00000000 -> 00800e93 
ram[00000298]  = 3fde1e63(32) ; 00000000 -> 3fde1e63 
ram[0000029c]  = 80000337(32) ; 00000000 -> 80000337 
ram[000002a0]  = 00000417(32) ; 00000000 -> 00000417 
ram[000002a4]  = 00735e33(32) ; 00000000 -> 00735e33 
ram[000002a8]  = 10000eb7(32) ; 00000000 -> 10000eb7 
ram[000002ac]  = 3fde1463(32) ; 00000000 -> 3fde1463 
ram[000002b0]  = 80000337(32) ; 00000000 -> 80000337 
ram[000002b4]  = 00000417(32) ; 00000000 -> 00000417 
ram[000002b8]  = 40735e33(32) ; 00000000 -> 40735e33 
ram[000002bc]  = f0000eb7(32) ; 00000000 -> f0000eb7 
ram[000002c0]  = 3dde1a63(32) ; 00000000 -> 3dde1a63 
ram[000002c4]  = 70000337(32) ; 00000000 -> 70000337 
ram[000002c8]  = 00000417(32) ; 00000000 -> 00000417 
ram[000002cc]  = 40735e33(32) ; 00000000 -> 40735e33 
ram[000002d0]  = 0e000eb7(32) ; 00000000 -> 0e000eb7 
ram[000002d4]  = 3dde1063(32) ; 00000000 -> 3dde1063 
ram[000002d8]  = 00100313(32) ; 00000000 -> 00100313 
ram[000002dc]  = 00000417(32) ; 00000000 -> 00000417 
ram[000002e0]  = 00331e13(32) ; 00000000 -> 00331e13 
ram[000002e4]  = 00800e93(32) ; 00000000 -> 00800e93 
ram[000002e8]  = 3bde1663(32) ; 00000000 -> 3bde1663 
ram[000002ec]  = 80000337(32) ; 00000000 -> 80000337 
ram[000002f0]  = 00000417(32) ; 00000000 -> 00000417 
ram[000002f4]  = 00335e13(32) ; 00000000 -> 00335e13 
ram[000002f8]  = 10000eb7(32) ; 00000000 -> 10000eb7 
ram[000002fc]  = 39de1c63(32) ; 00000000 -> 39de1c63 
ram[00000300]  = 80000337(32) ; 00000000 -> 80000337 
ram[00000304]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000308]  = 40335e13(32) ; 00000000 -> 40335e13 
ram[0000030c]  = f0000eb7(32) ; 00000000 -> f0000eb7 
ram[00000310]  = 39de1263(32) ; 00000000 -> 39de1263 
ram[00000314]  = 70000337(32) ; 00000000 -> 70000337 
ram[00000318]  = 00000417(32) ; 00000000 -> 00000417 
ram[0000031c]  = 40335e13(32) ; 00000000 -> 40335e13 
ram[00000320]  = 0e000eb7(32) ; 00000000 -> 0e000eb7 
ram[00000324]  = 37de1863(32) ; 00000000 -> 37de1863 
ram[00000328]  = 00010137(32) ; 00000000 -> 00010137 
ram[0000032c]  = 00010493(32) ; 00000000 -> 00010493 
ram[00000330]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000334]  = fff00313(32) ; 00000000 -> fff00313 
ram[00000338]  = 0064a023(32) ; 00000000 -> 0064a023 
ram[0000033c]  = 0004a383(32) ; 00000000 -> 0004a383 
ram[00000340]  = 34731a63(32) ; 00000000 -> 34731a63 
ram[00000344]  = 0ff00313(32) ; 00000000 -> 0ff00313 
ram[00000348]  = fe64ae23(32) ; 00000000 -> fe64ae23 
ram[0000034c]  = 07f00313(32) ; 00000000 -> 07f00313 
ram[00000350]  = fe64ac23(32) ; 00000000 -> fe64ac23 
ram[00000354]  = 00010337(32) ; 00000000 -> 00010337 
ram[00000358]  = fff30313(32) ; 00000000 -> fff30313 
ram[0000035c]  = fe64aa23(32) ; 00000000 -> fe64aa23 
ram[00000360]  = 00008337(32) ; 00000000 -> 00008337 
ram[00000364]  = fff30313(32) ; 00000000 -> fff30313 
ram[00000368]  = fe64a823(32) ; 00000000 -> fe64a823 
ram[0000036c]  = fe04a623(32) ; 00000000 -> fe04a623 
ram[00000370]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000374]  = f0000393(32) ; 00000000 -> f0000393 
ram[00000378]  = ff848383(32) ; 00000000 -> ff848383 
ram[0000037c]  = 07f00313(32) ; 00000000 -> 07f00313 
ram[00000380]  = 30731a63(32) ; 00000000 -> 30731a63 
ram[00000384]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000388]  = 00000393(32) ; 00000000 -> 00000393 
ram[0000038c]  = ffc48383(32) ; 00000000 -> ffc48383 
ram[00000390]  = fff00313(32) ; 00000000 -> fff00313 
ram[00000394]  = 30731063(32) ; 00000000 -> 30731063 
ram[00000398]  = 00000417(32) ; 00000000 -> 00000417 
ram[0000039c]  = ffff03b7(32) ; 00000000 -> ffff03b7 
ram[000003a0]  = ff049383(32) ; 00000000 -> ff049383 
ram[000003a4]  = 00008337(32) ; 00000000 -> 00008337 
ram[000003a8]  = fff30313(32) ; 00000000 -> fff30313 
ram[000003ac]  = 2e731463(32) ; 00000000 -> 2e731463 
ram[000003b0]  = 00000417(32) ; 00000000 -> 00000417 
ram[000003b4]  = 00000393(32) ; 00000000 -> 00000393 
ram[000003b8]  = ff449383(32) ; 00000000 -> ff449383 
ram[000003bc]  = fff00313(32) ; 00000000 -> fff00313 
ram[000003c0]  = 2c731a63(32) ; 00000000 -> 2c731a63 
ram[000003c4]  = 00000417(32) ; 00000000 -> 00000417 
ram[000003c8]  = f0000393(32) ; 00000000 -> f0000393 
ram[000003cc]  = ffc4c383(32) ; 00000000 -> ffc4c383 
ram[000003d0]  = 0ff00313(32) ; 00000000 -> 0ff00313 
ram[000003d4]  = 2c731063(32) ; 00000000 -> 2c731063 
ram[000003d8]  = 00000417(32) ; 00000000 -> 00000417 
ram[000003dc]  = ffff03b7(32) ; 00000000 -> ffff03b7 
ram[000003e0]  = ff44d383(32) ; 00000000 -> ff44d383 
ram[000003e4]  = 00010337(32) ; 00000000 -> 00010337 
ram[000003e8]  = fff30313(32) ; 00000000 -> fff30313 
ram[000003ec]  = 2a731463(32) ; 00000000 -> 2a731463 
ram[000003f0]  = 00000417(32) ; 00000000 -> 00000417 
ram[000003f4]  = fe04a623(32) ; 00000000 -> fe04a623 
ram[000003f8]  = f5500313(32) ; 00000000 -> f5500313 
ram[000003fc]  = fe648623(32) ; 00000000 -> fe648623 
ram[00000400]  = fec4a383(32) ; 00000000 -> fec4a383 
ram[00000404]  = 05500313(32) ; 00000000 -> 05500313 
ram[00000408]  = 28731663(32) ; 00000000 -> 28731663 
ram[0000040c]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000410]  = fe04a623(32) ; 00000000 -> fe04a623 
ram[00000414]  = faa00313(32) ; 00000000 -> faa00313 
ram[00000418]  = fe648623(32) ; 00000000 -> fe648623 
ram[0000041c]  = fec4a383(32) ; 00000000 -> fec4a383 
ram[00000420]  = 0aa00313(32) ; 00000000 -> 0aa00313 
ram[00000424]  = 26731863(32) ; 00000000 -> 26731863 
ram[00000428]  = 00000417(32) ; 00000000 -> 00000417 
ram[0000042c]  = fe04a623(32) ; 00000000 -> fe04a623 
ram[00000430]  = ffff5337(32) ; 00000000 -> ffff5337 
ram[00000434]  = 55530313(32) ; 00000000 -> 55530313 
ram[00000438]  = fe649623(32) ; 00000000 -> fe649623 
ram[0000043c]  = fec4a383(32) ; 00000000 -> fec4a383 
ram[00000440]  = 00005337(32) ; 00000000 -> 00005337 
ram[00000444]  = 55530313(32) ; 00000000 -> 55530313 
ram[00000448]  = 24731663(32) ; 00000000 -> 24731663 
ram[0000044c]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000450]  = fe04a623(32) ; 00000000 -> fe04a623 
ram[00000454]  = ffffb337(32) ; 00000000 -> ffffb337 
ram[00000458]  = aaa30313(32) ; 00000000 -> aaa30313 
ram[0000045c]  = fe649623(32) ; 00000000 -> fe649623 
ram[00000460]  = fec4a383(32) ; 00000000 -> fec4a383 
ram[00000464]  = 0000b337(32) ; 00000000 -> 0000b337 
ram[00000468]  = aaa30313(32) ; 00000000 -> aaa30313 
ram[0000046c]  = 22731463(32) ; 00000000 -> 22731463 
ram[00000470]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000474]  = fe04a623(32) ; 00000000 -> fe04a623 
ram[00000478]  = 03300313(32) ; 00000000 -> 03300313 
ram[0000047c]  = fe648623(32) ; 00000000 -> fe648623 
ram[00000480]  = 05500313(32) ; 00000000 -> 05500313 
ram[00000484]  = fe6486a3(32) ; 00000000 -> fe6486a3 
ram[00000488]  = 0aa00313(32) ; 00000000 -> 0aa00313 
ram[0000048c]  = fe648723(32) ; 00000000 -> fe648723 
ram[00000490]  = 0cc00313(32) ; 00000000 -> 0cc00313 
ram[00000494]  = fe6487a3(32) ; 00000000 -> fe6487a3 
ram[00000498]  = fec4a383(32) ; 00000000 -> fec4a383 
ram[0000049c]  = ccaa5337(32) ; 00000000 -> ccaa5337 
ram[000004a0]  = 53330313(32) ; 00000000 -> 53330313 
ram[000004a4]  = 1e731863(32) ; 00000000 -> 1e731863 
ram[000004a8]  = 00000417(32) ; 00000000 -> 00000417 
ram[000004ac]  = fe04a623(32) ; 00000000 -> fe04a623 
ram[000004b0]  = 00003337(32) ; 00000000 -> 00003337 
ram[000004b4]  = 35530313(32) ; 00000000 -> 35530313 
ram[000004b8]  = fe649623(32) ; 00000000 -> fe649623 
ram[000004bc]  = 0000b337(32) ; 00000000 -> 0000b337 
ram[000004c0]  = acc30313(32) ; 00000000 -> acc30313 
ram[000004c4]  = fe649723(32) ; 00000000 -> fe649723 
ram[000004c8]  = fec4a383(32) ; 00000000 -> fec4a383 
ram[000004cc]  = aacc3337(32) ; 00000000 -> aacc3337 
ram[000004d0]  = 35530313(32) ; 00000000 -> 35530313 
ram[000004d4]  = 1c731063(32) ; 00000000 -> 1c731063 
ram[000004d8]  = 00000417(32) ; 00000000 -> 00000417 
ram[000004dc]  = fec10493(32) ; 00000000 -> fec10493 
ram[000004e0]  = 00000393(32) ; 00000000 -> 00000393 
ram[000004e4]  = 0074a623(32) ; 00000000 -> 0074a623 
ram[000004e8]  = fff00313(32) ; 00000000 -> fff00313 
ram[000004ec]  = 0064a623(32) ; 00000000 -> 0064a623 
ram[000004f0]  = 00c4a383(32) ; 00000000 -> 00c4a383 
ram[000004f4]  = 1a731063(32) ; 00000000 -> 1a731063 
ram[000004f8]  = 00000417(32) ; 00000000 -> 00000417 
ram[000004fc]  = ff010337(32) ; 00000000 -> ff010337 
ram[00000500]  = f0030313(32) ; 00000000 -> f0030313 
ram[00000504]  = ff0003b7(32) ; 00000000 -> ff0003b7 
ram[00000508]  = 0ff38393(32) ; 00000000 -> 0ff38393 
ram[0000050c]  = ff010eb7(32) ; 00000000 -> ff010eb7 
ram[00000510]  = fffe8e93(32) ; 00000000 -> fffe8e93 
ram[00000514]  = 00736e33(32) ; 00000000 -> 00736e33 
ram[00000518]  = 17de1e63(32) ; 00000000 -> 17de1e63 
ram[0000051c]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000520]  = ff010337(32) ; 00000000 -> ff010337 
ram[00000524]  = f0030313(32) ; 00000000 -> f0030313 
ram[00000528]  = ff0003b7(32) ; 00000000 -> ff0003b7 
ram[0000052c]  = 0ff38393(32) ; 00000000 -> 0ff38393 
ram[00000530]  = ff000eb7(32) ; 00000000 -> ff000eb7 
ram[00000534]  = 00737e33(32) ; 00000000 -> 00737e33 
ram[00000538]  = 15de1e63(32) ; 00000000 -> 15de1e63 
ram[0000053c]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000540]  = ff010337(32) ; 00000000 -> ff010337 
ram[00000544]  = f0030313(32) ; 00000000 -> f0030313 
ram[00000548]  = ff0003b7(32) ; 00000000 -> ff0003b7 
ram[0000054c]  = 0ff38393(32) ; 00000000 -> 0ff38393 
ram[00000550]  = 00010eb7(32) ; 00000000 -> 00010eb7 
ram[00000554]  = fffe8e93(32) ; 00000000 -> fffe8e93 
ram[00000558]  = 00734e33(32) ; 00000000 -> 00734e33 
ram[0000055c]  = 13de1c63(32) ; 00000000 -> 13de1c63 
ram[00000560]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000564]  = ff010337(32) ; 00000000 -> ff010337 
ram[00000568]  = f0030313(32) ; 00000000 -> f0030313 
ram[0000056c]  = 80f36e13(32) ; 00000000 -> 80f36e13 
ram[00000570]  = f0f00e93(32) ; 00000000 -> f0f00e93 
ram[00000574]  = 13de1063(32) ; 00000000 -> 13de1063 
ram[00000578]  = 00000417(32) ; 00000000 -> 00000417 
ram[0000057c]  = ff010337(32) ; 00000000 -> ff010337 
ram[00000580]  = f0030313(32) ; 00000000 -> f0030313 
ram[00000584]  = 70f36e13(32) ; 00000000 -> 70f36e13 
ram[00000588]  = ff010eb7(32) ; 00000000 -> ff010eb7 
ram[0000058c]  = f0fe8e93(32) ; 00000000 -> f0fe8e93 
ram[00000590]  = 11de1263(32) ; 00000000 -> 11de1263 
ram[00000594]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000598]  = ff010337(32) ; 00000000 -> ff010337 
ram[0000059c]  = f0030313(32) ; 00000000 -> f0030313 
ram[000005a0]  = 80f37e13(32) ; 00000000 -> 80f37e13 
ram[000005a4]  = ff010eb7(32) ; 00000000 -> ff010eb7 
ram[000005a8]  = 800e8e93(32) ; 00000000 -> 800e8e93 
ram[000005ac]  = 0fde1463(32) ; 00000000 -> 0fde1463 
ram[000005b0]  = 00000417(32) ; 00000000 -> 00000417 
ram[000005b4]  = ff010337(32) ; 00000000 -> ff010337 
ram[000005b8]  = f0030313(32) ; 00000000 -> f0030313 
ram[000005bc]  = 70f37e13(32) ; 00000000 -> 70f37e13 
ram[000005c0]  = 70000e93(32) ; 00000000 -> 70000e93 
ram[000005c4]  = 0dde1863(32) ; 00000000 -> 0dde1863 
ram[000005c8]  = 00000417(32) ; 00000000 -> 00000417 
ram[000005cc]  = ff010337(32) ; 00000000 -> ff010337 
ram[000005d0]  = f0030313(32) ; 00000000 -> f0030313 
ram[000005d4]  = 80f34e13(32) ; 00000000 -> 80f34e13 
ram[000005d8]  = 00ff0eb7(32) ; 00000000 -> 00ff0eb7 
ram[000005dc]  = 70fe8e93(32) ; 00000000 -> 70fe8e93 
ram[000005e0]  = 0bde1a63(32) ; 00000000 -> 0bde1a63 
ram[000005e4]  = 00000417(32) ; 00000000 -> 00000417 
ram[000005e8]  = ff010337(32) ; 00000000 -> ff010337 
ram[000005ec]  = f0030313(32) ; 00000000 -> f0030313 
ram[000005f0]  = 70f34e13(32) ; 00000000 -> 70f34e13 
ram[000005f4]  = ff010eb7(32) ; 00000000 -> ff010eb7 
ram[000005f8]  = 80fe8e93(32) ; 00000000 -> 80fe8e93 
ram[000005fc]  = 09de1c63(32) ; 00000000 -> 09de1c63 
ram[00000600]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000604]  = fff00313(32) ; 00000000 -> fff00313 
ram[00000608]  = 00100393(32) ; 00000000 -> 00100393 
ram[0000060c]  = 00730e33(32) ; 00000000 -> 00730e33 
ram[00000610]  = 080e1263(32) ; 00000000 -> 080e1263 
ram[00000614]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000618]  = fff00313(32) ; 00000000 -> fff00313 
ram[0000061c]  = fff00393(32) ; 00000000 -> fff00393 
ram[00000620]  = 00730e33(32) ; 00000000 -> 00730e33 
ram[00000624]  = 002e0e13(32) ; 00000000 -> 002e0e13 
ram[00000628]  = 060e1663(32) ; 00000000 -> 060e1663 
ram[0000062c]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000630]  = fff00313(32) ; 00000000 -> fff00313 
ram[00000634]  = 00100393(32) ; 00000000 -> 00100393 
ram[00000638]  = 40730e33(32) ; 00000000 -> 40730e33 
ram[0000063c]  = 002e0e13(32) ; 00000000 -> 002e0e13 
ram[00000640]  = 040e1a63(32) ; 00000000 -> 040e1a63 
ram[00000644]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000648]  = fff00313(32) ; 00000000 -> fff00313 
ram[0000064c]  = 00100393(32) ; 00000000 -> 00100393 
ram[00000650]  = 40638e33(32) ; 00000000 -> 40638e33 
ram[00000654]  = ffee0e13(32) ; 00000000 -> ffee0e13 
ram[00000658]  = 020e1e63(32) ; 00000000 -> 020e1e63 
ram[0000065c]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000660]  = fff00313(32) ; 00000000 -> fff00313 
ram[00000664]  = fff00393(32) ; 00000000 -> fff00393 
ram[00000668]  = 40730e33(32) ; 00000000 -> 40730e33 
ram[0000066c]  = 020e1463(32) ; 00000000 -> 020e1463 
ram[00000670]  = 00100313(32) ; 00000000 -> 00100313 
ram[00000674]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000678]  = 0200096f(32) ; 00000000 -> 0200096f 
ram[0000067c]  = 00031c63(32) ; 00000000 -> 00031c63 
ram[00000680]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000684]  = 00100313(32) ; 00000000 -> 00100313 
ram[00000688]  = 00000997(32) ; 00000000 -> 00000997 
ram[0000068c]  = 01098967(32) ; 00000000 -> 01098967 
ram[00000690]  = 00031263(32) ; 00000000 -> 00031263 
